Sr No.,car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
176,Rolls Royce Dawn,2,Petrol,6598,12,4,Automatic,0,Convertible,4,20800000,20800000,820,5000,563,6000
177,BMW X5 M,30,Petrol,4395,8,5,Automatic,83,SUV,5,32100000,49900000,750,5600,616.87,6000
178,Lamborghini Huracan EVO,5,Petrol,5204,10,2,Automatic,80,Coupe,4.5,4000000,4000000,565,6500,630.28,8000
179,Mini Cooper 3 DOOR,15,Petrol,1998,4,4,Automatic,44,Hatchback,4.5,8470000,8470000,280,1250,189.08,6000
180,Mercedes-Benz CLS,60,Diesel,1950,4,5,Automatic,66,Coupe,4.5,885000,912000,500,2400,241.3,4200
181,Mahindra Bolero PikUp ExtraLong,5,Diesel,2523,4,2,Manual,60,Pickup Truck,4.5,23300000,23300000,200,2200,75.09,3200
182,Lexus LX,1,Petrol,5663,8,8,Automatic,93,SUV,5,8700000,8700000,530,3200,362,5600
183,Mercedes-Benz AMG GLC 43,9,Petrol,2996,6,5,Automatic,0,SUV,4.5,927000,976000,520,5000,384.87,6100
184,Mahindra Bolero Camper,88,Diesel,2523,4,5,Manual,57,Pickup Truck,4.5,2999000,3549000,200,2200,75.09,3200
185,Tata Nexon EV Max,1,Electric,0,0,5,Electric,0,SUV,5,463000,583000,250,0,141.04,0
186,Mahindra Bolero Neo,97,Diesel,1493,3,7,Manual,50,SUV,4.5,903000,1173000,260,2250,100,3750
187,Mahindra Bolero Neo,1,Diesel,1493,3,7,Manual,50,SUV,4.5,13500000,25700000,260,2250,100,3750
188,Audi e-tron GT,1,Electric,0,0,5,Electric,0,Coupe,4.5,5800000,5800000,630,0,522.99,0
189,Maruti Swift Dzire Tour,1,CNG,1197,4,5,Manual,55,Sedan,4.5,13500000,25700000,95,4000,70.4,6000
190,Mercedes-Benz AMG A 35,21,Petrol,1991,4,5,Automatic,51,Sedan,4.5,1989000,1989000,400,4000,301.73,5800
191,Mercedes-Benz GLC Coupe,5,Diesel,1950,4,5,Automatic,66,Coupe,5,3132000,3132000,500,2400,241.38,4200
192,Toyota Glanza,23,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,2990000,3695000,113,4400,88.5,6000
193,Toyota Glanza,3,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,5590000,5590000,113,4400,88.5,6000
194,Porsche Cayenne Coupe,1,Petrol,3996,8,4,Automatic,0,SUV,3.5,18900000,18900000,850,4500,631.62,6000
195,Porsche Cayenne Coupe,6,Petrol,3996,8,4,Automatic,0,SUV,3.5,391000,397000,850,4500,631.62,6000
196,Honda City Hybrid,1,Petrol,1498,4,5,Automatic,40,Sedan,4.5,8150000,8150000,127,5000,96.55,6400
197,Compass Trailhawk,1,Diesel,1998,4,5,Automatic,60,SUV,4.5,5450000,5690000,350,2500,170,3750
198,Jeep Meridian,78,Diesel,1956,4,7,Automatic,60,SUV,4.5,1615000,2075000,350,2500,167.67,3750
199,Mercedes-Benz AMG A 45 S,35,Petrol,1991,4,5,Automatic,0,Hatchback,4.5,659000,999000,500,5250,415.71,6750
200,BMW 3 Series Gran Limousine,3,Petrol,1998,4,5,Automatic,59,Sedan,4.5,1041000,1041000,400,4400,254.79,5000
201,MG Hector Plus,2,Diesel,1956,4,7,Manual,60,SUV,4.5,1615000,2075000,350,2500,167.67,3750
202,Audi RS Q8,9,Petrol,3998,8,5,Automatic,85,SUV,3.5,21700000,21700000,800,4500,591.39,6000
203,Maruti Alto 800 tour,4,Petrol,796,3,5,Manual,35,Hatchback,4.5,391000,397000,69,3500,47.33,6000
